Sample   Tech   Temp   DryWt
18   Mark   4.5   0.569
20   Raisa   4.5   0.597
22   Nitnoy   4.5   0.603
19   Nitnoy   4.5   0.607
31   Stephano   5   0.611
30   Stephano   5   0.613
28   Cita   5   0.622
32   Raisa   5   0.626
29   Raisa   5   0.634
24   Cita   5.5   0.565
25   Fatima   5.5   0.61
27   Raisa   5.5   0.62
23   Fatima   5.5   .
26   Mark   5.5   0.64
74   Raisa   7   0.656
77   Nitnoy   7   0.661
76   Raisa   7   0.685
73   LaVerna   7   0.695
75   Raisa   7   0.701
33   Nitnoy   8   0.528
36   Raisa   8   0.574
37   Cita   8   0.619
35   Stephano   8   0.627
34   LaVerna   8   0.642
44   Stephano   10.5   0.62
43   Mark   10.5   0.65
46   Raisa   10.5   0.67
45   Stephano   10.5   0.728
47   Cita   10.5   0.679
71   Raisa   11.5   0.753
72   Mark   11.5   0.759
68   Raisa   11.5   0.77
69   Mark   11.5   0.781
70   Fatima   11.5   0.786
50   Mark   13   0.727
51   Stephano   13   0.785
48   Mark   13   0.787
49   Raisa   13   0.793
52   Raisa   13   0.795
57   Nitnoy   14   0.709
53   Nitnoy   14   0.765
54   Stephano   14   0.768
56   Fatima   14   0.791
55   Stephano   14   0.804
41   Raisa   14.5   0.694
42   Nitnoy   14.5   0.709
39   Fatima   14.5   0.732
38   Nitnoy   14.5   0.739
40   Raisa   14.5   0.749
65   Fatima   16   0.82
67   Cita   16   0.836
64   LaVerna   16   0.844
63   Raisa   16   0.848
66   Mark   16   0.859
60   Fatima   19   0.779
58   Nitnoy   19   0.801
59   Cita   19   0.808
62   Mark   19   0.828
61   Raisa   19   0.83
